updated;country;cases;todayCases;deaths;todayDeaths;recovered;todayRecovered;active;critical;casesPerOneMillion;deathsPerOneMillion;tests;testsPerOneMillion;population;continent;oneCasePerPeople;oneDeathPerPeople;oneTestPerPeople;activePerOneMillion;recoveredPerOneMillion;criticalPerOneMillion
1,77602E+12;Panama;1059893;0;8727;0;1051102;0;64;16;238341;1962;7882622;1772585;4446964;North America;4;510;1;14,39;236363,96;3,6
1,77602E+12;Papua New Guinea;46864;0;670;0;46168;0;26;0;5043;72;249149;26813;9292169;Australia-Oceania;198;13869;37;2,8;4968,48;0
1,77602E+12;Paraguay;837602;0;20155;0;0;0;817447;0;114648;2759;2657506;363751;7305843;South America;9;362;3;111889,48;0;0
1,77602E+12;Peru;4572667;0;222161;0;4350506;0;0;4;135751;6595;39010194;1158115;33684208;South America;7;152;1;0;129155,66;0,12
1,77602E+12;Philippines;4140383;0;66864;0;4067381;0;6138;0;36800;594;36102746;320888;112508994;Asia;27;1683;3;54,56;36151,61;0
1,77602E+12;Poland;6661991;0;120598;0;0;0;6541393;0;176524;3196;39323709;1041970;37739785;Europe;6;313;1;173328,84;0;0
1,77602E+12;Portugal;5643062;0;28126;0;5614809;0;127;61;556484;2774;46139518;4549993;10140570;Europe;2;361;0;12,52;553697,57;6,02
1,77602E+12;Qatar;514524;0;690;0;513687;0;147;16;172664;232;4065369;1364257;2979915;Asia;6;4319;1;49,33;172383,1;5,37
1,77602E+12;Romania;3529735;0;68929;0;3460149;390;657;21;185470;3622;28758667;1511122;19031335;Europe;5;276;1;34,52;181813,26;1,1
1,77602E+12;Russia;24124215;0;402756;0;23545818;0;175641;0;165454;2762;273400000;1875095;145805947;Europe;6;362;1;1204,62;161487,36;0
1,77602E+12;Rwanda;133518;0;1468;0;132039;0;11;0;9817;108;6021981;442778;13600464;Africa;102;9265;2;0,81;9708,42;0
1,77602E+12;Réunion;494595;0;921;0;0;0;493674;0;544672;1014;1603660;1766027;908061;Africa;2;986;1;543657,31;0;0
1,77602E+12;S. Korea;34571873;0;35934;0;34535939;0;0;0;673523;700;15804065;307892;51329899;Asia;1;1428;3;0;672823,05;0
1,77602E+12;Saint Helena;2166;0;0;0;2;0;2164;0;354211;0;0;0;6115;Africa;3;0;0;353883,89;327,06;0
1,77602E+12;Saint Kitts and Nevis;6607;0;48;0;6559;0;0;0;122645;891;126958;2356704;53871;North America;8;1122;0;0;121753,82;0
1,77602E+12;Saint Lucia;30215;0;410;0;29805;0;0;0;163225;2215;210983;1139752;185113;North America;6;451;1;0;161009,76;0
1,77602E+12;Saint Martin;12324;0;63;0;0;0;12261;0;310194;1586;112382;2828643;39730;North America;3;631;0;308608,1;0;0
1,77602E+12;Saint Pierre Miquelon;3452;0;2;0;2449;0;1001;0;599410;347;25400;4410488;5759;North America;2;2880;0;173814,9;425247,44;0
1,77602E+12;Saint Vincent and the Grenadines;9674;0;124;0;9493;0;57;0;86723;1112;114197;1023720;111551;North America;12;900;1;510,98;85100,09;0
1,77602E+12;Samoa;17006;0;31;0;1605;0;15370;0;84089;153;187397;926612;202239;Australia-Oceania;12;6524;1;75999,19;7936,15;0
1,77602E+12;San Marino;26185;0;128;0;26011;0;46;0;768226;3755;196855;5775414;34085;Europe;1;266;0;1349,57;763121,61;0
1,77602E+12;Sao Tome and Principe;6778;0;80;0;6685;0;13;0;29770;351;29600;130008;227679;Africa;34;2846;8;57,1;29361,51;0
1,77602E+12;Saudi Arabia;841469;0;9646;0;0;0;831823;0;23475;269;45481735;1268848;35844909;Asia;43;3716;1;23206,17;0;0
1,77602E+12;Senegal;89053;0;1971;0;87024;0;58;0;5044;112;1146543;64946;17653671;Africa;198;8957;15;3,29;4929,51;0
1,77602E+12;Serbia;2615054;0;18057;0;2596608;0;389;0;302213;2087;13463733;1555958;8653016;Europe;3;479;1;44,96;300081,27;0
1,77602E+12;Seychelles;51220;0;172;0;51048;0;0;0;515157;1730;0;0;99426;Africa;2;578;0;0;513427,07;0
1,77602E+12;Sierra Leone;7779;0;126;0;0;0;7653;0;937;15;259958;31296;8306436;Africa;1068;65924;32;921,33;0;0
1,77602E+12;Singapore;3006155;0;2024;0;3004131;0;0;4;505785;341;24756666;4165302;5943546;Asia;2;2937;0;0;505444,22;0,67
1,77602E+12;Sint Maarten;11051;0;92;0;10905;0;54;0;251353;2093;62056;1411454;43966;North America;4;478;1;1228,22;248032,57;0
1,77602E+12;Slovakia;1877605;0;21224;0;1856381;0;0;23;343872;3887;7448789;1364199;5460193;Europe;3;257;1;0;339984,5;4,21
1,77602E+12;Slovenia;1356546;0;7100;0;1349424;0;22;0;652803;3417;2847701;1370382;2078034;Europe;2;293;1;10,59;649375,32;0
